ts,phase57_core,phase57_lock_a,phase57_lock_b,phase57_lock_c,phase57_lock_d,phase57_lock_e,phase57_lock_f
2018-05-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
