cg_rank,cg_id,symbol,name,market_cap
1,bitcoin,BTC,Bitcoin,1336116108622
9,figure-heloc,FIGR_HELOC,Figure Heloc,16560104078
12,whitebit,WBT,WhiteBIT Coin,11033570883
14,hyperliquid,HYPE,Hyperliquid,9447155622
16,leo-token,LEO,LEO Token,8832714952
17,monero,XMR,Monero,6124576161
20,canton-network,CC,Canton,5719940532
25,rain,RAIN,Rain,3989334094
26,memecore,M,MemeCore,3907753829
34,crypto-com-chain,CRO,Cronos,3057754774
37,hashnote-usyc,USYC,Circle USYC,2626593159
40,mantle,MNT,Mantle,2232017672
41,blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,2169130946
45,pi-network,PI,Pi Network,1782271443
46,okb,OKB,OKB,1764261625
50,htx-dao,HTX,HTX DAO,1568769940
55,bitget-token,BGB,Bitget Token,1363165544
61,siren-2,SIREN,Siren,1219762129
62,gatechain-token,GT,Gate,1133103428
63,janus-henderson-anemoy-treasury-fund,JTRSY,Janus Henderson Anemoy Treasury Fund,1090331312
64,kucoin-shares,KCS,KuCoin,1051328021
68,kaspa,KAS,Kaspa,954968745
69,eutbl,EUTBL,Spiko EU T-Bills Money Market Fund,951427264
80,superstate-short-duration-us-government-securities-fund-ustb,USTB,Superstate Short Duration U.S. Government Securities Fund (USTB),741827909
83,flare-networks,FLR,Flare,670156174
85,beldex,BDX,Beldex,623746579
86,ousg,OUSG,OUSG,621222444
87,xdce-crowd-sale,XDC,XDC Network,616294489
88,hash-2,HASH,Provenance Blockchain,612665454
89,ylds,YLDS,YLDS,592395701
90,gho,GHO,GHO,583385330
95,stable-2,STABLE,​​Stable,553240976
101,a7a5,A7A5,A7A5,479069403
102,fasttoken,FTN,Fasttoken,471763839
111,janus-henderson-anemoy-aaa-clo-fund,JAAA,Janus Henderson Anemoy AAA CLO Fund,396605008
116,hastra-prime,PRIME,PRIME,361619947
117,usx,USX,USX,352171541
118,kinesis-gold,KAU,Kinesis Gold,343619299
121,apenft,NFT,AINFT,323974566
122,adi-token,ADI,ADI,323784188
125,bittorrent,BTT,BitTorrent,313281534
128,aerodrome-finance,AERO,Aerodrome Finance,303458730
131,river,RIVER,River,281043324
133,venice-token,VVV,Venice Token,273463964
134,bitcoin-cash-sv,BSV,Bitcoin SV,273813653
140,official-fo,FO,Official FO,262250992
141,crvusd,CRVUSD,crvUSD,262351247
142,kinesis-silver,KAG,Kinesis Silver,259940495
144,spx6900,SPX,SPX6900,258959553
145,ape-and-pepe,APEPE,Ape and Pepe,250364494
146,monad,MON,Monad,248712063
149,olympus,OHM,Olympus,242996761
151,btse-token,BTSE,BTSE Token,233622428
152,the9bit,9BIT,The9bit,222794703
154,zebec-network,ZBCN,Zebec Network,221013466
157,lighter,LIT,Lighter,218619350
160,helium,HNT,Helium,217208350
161,undeads-games,UDS,Undeads Games,216596725
162,agora-dollar,AUSD,AUSD,216361236
163,blockchain-capital,BCAP,Blockchain Capital,208576221
164,telcoin,TEL,Telcoin,204717443
165,build-on,B,BUILDon,202615937
169,story-2,IP,Story,195163785
172,chain-2,XCN,Onyxcoin,190568735
173,tradable-na-rent-financing-platform-sstn,PC0000031,Tradable NA Rent Financing Platform SSTN,189500000
174,newton-project,AB,AB,189476945
175,vision-3,VSN,Vision,188809171
176,swissborg,BORG,SwissBorg,187168419
177,re-protocol-reusd,REUSD,Re Protocol reUSD,186369973
178,nusd-2,NUSD,Neutrl USD,185717155
182,spiko-us-t-bills-money-market-fund,USTBL,Spiko US T-Bills Money Market Fund,178475179
184,reallink,REAL,RealLink,177401083
185,wefi,WFI,WeFi,174991121
186,fartcoin,FARTCOIN,Fartcoin,171721834
188,fidelity-digital-interest-token,FDIT,Fidelity Digital Interest Token,166677017
190,mx-token,MX,MX,164047245
191,bnb48-club-token,KOGE,KOGE,162120652
193,grass,GRASS,Grass,158472205
194,satoshi-stablecoin,SATUSD,Satoshi Stablecoin,158324422
