date,g7_m2_yoy,bis_gli_yoy,cb_balance_sheet_yoy
2024-01-07,5.2,4.8,3.1
2024-01-14,5.1,4.7,3.0
2024-01-21,5.0,4.6,2.9
2024-01-28,4.9,4.5,2.8
2024-02-04,4.8,4.4,2.7
2024-02-11,4.7,4.4,2.7
2024-02-18,4.6,4.3,2.6
2024-02-25,4.6,4.2,2.5
2024-03-03,4.5,4.1,2.4
2024-03-10,4.4,4.0,2.3
2024-03-17,4.3,3.9,2.2
2024-03-24,4.2,3.8,2.1
2024-03-31,4.1,3.8,2.1
2024-04-07,4.0,3.7,2.0
2024-04-14,3.9,3.6,1.9
2024-04-21,3.8,3.5,1.8
2024-04-28,3.8,3.5,1.8
2024-05-05,3.9,3.6,1.9
2024-05-12,4.0,3.7,2.0
2024-05-19,4.1,3.8,2.1
2024-05-26,4.2,3.9,2.2
2024-06-02,4.3,4.0,2.3
2024-06-09,4.4,4.1,2.4
2024-06-16,4.5,4.2,2.5
2024-06-23,4.6,4.3,2.6
2024-06-30,4.7,4.4,2.7
2024-07-07,4.8,4.5,2.8
2024-07-14,4.9,4.6,2.9
2024-07-21,5.0,4.7,3.0
2024-07-28,5.1,4.8,3.1
2024-08-04,5.2,4.9,3.2
2024-08-11,5.3,5.0,3.3
2024-08-18,5.4,5.1,3.4
2024-08-25,5.5,5.2,3.5
2024-09-01,5.6,5.3,3.6
2024-09-08,5.7,5.4,3.7
2024-09-15,5.8,5.5,3.8
2024-09-22,5.9,5.6,3.9
2024-09-29,6.0,5.7,4.0
2024-10-06,6.1,5.8,4.1
2024-10-13,6.2,5.9,4.2
2024-10-20,6.3,6.0,4.3
2024-10-27,6.4,6.1,4.4
2024-11-03,6.5,6.2,4.5
2024-11-10,6.6,6.3,4.6
2024-11-17,6.7,6.4,4.7
2024-11-24,6.8,6.5,4.8
2024-12-01,6.9,6.6,4.9
2024-12-08,7.0,6.7,5.0
2024-12-15,7.1,6.8,5.1
2024-12-22,7.2,6.9,5.2
2024-12-29,7.3,7.0,5.3
2025-01-05,7.2,6.9,5.2
2025-01-12,7.1,6.8,5.1
2025-01-19,7.0,6.7,5.0
2025-01-26,6.9,6.6,4.9
2025-02-02,6.8,6.5,4.8
2025-02-09,6.7,6.4,4.7
2025-02-16,6.6,6.3,4.6
2025-02-23,6.5,6.2,4.5
2025-03-02,6.4,6.1,4.4
2025-03-09,6.3,6.0,4.3
2025-03-16,6.2,5.9,4.2
2025-03-23,6.1,5.8,4.1
2025-03-30,6.0,5.7,4.0
2025-04-06,5.9,5.6,3.9
2025-04-13,5.8,5.5,3.8
2025-04-20,5.7,5.4,3.7
2025-04-27,5.6,5.3,3.6
2025-05-04,5.5,5.2,3.5
2025-05-11,5.4,5.1,3.4
2025-05-18,5.3,5.0,3.3
2025-05-25,5.2,4.9,3.2
2025-06-01,5.1,4.8,3.1
2025-06-08,5.0,4.7,3.0
2025-06-15,4.9,4.6,2.9
2025-06-22,4.8,4.5,2.8
2025-06-29,4.7,4.4,2.7
2025-07-06,4.6,4.3,2.6
2025-07-13,4.5,4.2,2.5
2025-07-20,4.4,4.1,2.4
2025-07-27,4.3,4.0,2.3
2025-08-03,4.2,3.9,2.2
2025-08-10,4.1,3.8,2.1
2025-08-17,4.0,3.7,2.0
2025-08-24,3.9,3.6,1.9
2025-08-31,3.8,3.5,1.8
2025-09-07,3.9,3.6,1.9
2025-09-14,4.0,3.7,2.0
2025-09-21,4.1,3.8,2.1
2025-09-28,4.2,3.9,2.2
2025-10-05,4.3,4.0,2.3
2025-10-12,4.4,4.1,2.4
2025-10-19,4.5,4.2,2.5
2025-10-26,4.6,4.3,2.6
2025-11-02,4.7,4.4,2.7
2025-11-09,4.8,4.5,2.8
2025-11-16,4.9,4.6,2.9
2025-11-23,5.0,4.7,3.0
2025-11-30,5.1,4.8,3.1
2025-12-07,5.2,4.9,3.2
2025-12-14,5.3,5.0,3.3
2025-12-21,5.4,5.1,3.4
2025-12-28,5.5,5.2,3.5
2026-01-04,5.6,5.3,3.6
2026-01-11,5.7,5.4,3.7
2026-01-18,5.8,5.5,3.8
2026-01-25,5.9,5.6,3.9
2026-02-01,6.0,5.7,4.0
2026-02-08,6.1,5.8,4.1
2026-02-15,6.2,5.9,4.2
2026-02-22,6.3,6.0,4.3
2026-03-01,6.4,6.1,4.4
2026-03-08,6.5,6.2,4.5
