ts,daily_accel_w_0p20_aggressive,daily_accel_w_0p20_balanced_v2,daily_accel_w_0p25_aggressive,daily_accel_w_0p25_balanced_v2
2019-01-09,1.0,1.0,1.0,1.0
2019-01-10,1.0,1.0,1.0,1.0
2019-01-11,1.0,1.0,1.0,1.0
2019-01-12,1.0,1.0,1.0,1.0
2019-01-13,1.0,1.0,1.0,1.0
2019-01-14,1.0,1.0,1.0,1.0
2019-01-15,1.0,1.0,1.0,1.0
2019-01-16,1.0,1.0,1.0,1.0
2019-01-17,1.0,1.0,1.0,1.0
2019-01-18,1.0,1.0,1.0,1.0
2019-01-19,1.0,1.0,1.0,1.0
2019-01-20,1.0,1.0,1.0,1.0
2019-01-21,1.0,1.0,1.0,1.0
2019-01-22,1.0,1.0,1.0,1.0
2019-01-23,1.0,1.0,1.0,1.0
2019-01-24,1.0,1.0,1.0,1.0
2019-01-25,1.0,1.0,1.0,1.0
2019-01-26,1.0,1.0,1.0,1.0
2019-01-27,1.0,1.0,1.0,1.0
2019-01-28,1.0,1.0,1.0,1.0
2019-01-29,1.0,1.0,1.0,1.0
2019-01-30,1.0,1.0,1.0,1.0
2019-01-31,1.0,1.0,1.0,1.0
2019-02-01,1.0,1.0,1.0,1.0
2019-02-02,1.0,1.0,1.0,1.0
2019-02-03,1.0,1.0,1.0,1.0
2019-02-04,1.0,1.0,1.0,1.0
2019-02-05,1.0,1.0,1.0,1.0
2019-02-06,1.0,1.0,1.0,1.0
2019-02-07,1.0,1.0,1.0,1.0
2019-02-08,1.0,1.0,1.0,1.0
2019-02-09,1.0,1.0,1.0,1.0
2019-02-10,1.0,1.0,1.0,1.0
2019-02-11,1.0,1.0,1.0,1.0
2019-02-12,1.0,1.0,1.0,1.0
2019-02-13,1.0,1.0,1.0,1.0
2019-02-14,1.0,1.0,1.0,1.0
2019-02-15,1.0,1.0,1.0,1.0
2019-02-16,1.0,1.0,1.0,1.0
2019-02-17,1.0,1.0,1.0,1.0
2019-02-18,1.0,1.0,1.0,1.0
2019-02-19,1.0,1.0,1.0,1.0
2019-02-20,1.0,1.0,1.0,1.0
2019-02-21,1.0,1.0,1.0,1.0
2019-02-22,1.0,1.0,1.0,1.0
2019-02-23,1.0,1.0,1.0,1.0
2019-02-24,1.0,1.0,1.0,1.0
2019-02-25,1.0,1.0,1.0,1.0
2019-02-26,1.0,1.0,1.0,1.0
2019-02-27,1.0,1.0,1.0,1.0
2019-02-28,1.0,1.0,1.0,1.0
2019-03-01,1.0,1.0,1.0,1.0
2019-03-02,1.0,1.0,1.0,1.0
2019-03-03,1.0,1.0,1.0,1.0
2019-03-04,1.0,1.0,1.0,1.0
2019-03-05,1.0,1.0,1.0,1.0
2019-03-06,1.0,1.0,1.0,1.0
2019-03-07,1.0,1.0,1.0,1.0
2019-03-08,1.0,1.0,1.0,1.0
2019-03-09,1.0,1.0,1.0,1.0
2019-03-10,1.0,1.0,1.0,1.0
2019-03-11,1.0,1.0,1.0,1.0
2019-03-12,1.0,1.0,1.0,1.0
2019-03-13,1.0,1.0,1.0,1.0
2019-03-14,1.0,1.0,1.0,1.0
2019-03-15,1.0,1.0,1.0,1.0
2019-03-16,1.0,1.0,1.0,1.0
2019-03-17,1.0,1.0,1.0,1.0
2019-03-18,1.0,1.0,1.0,1.0
2019-03-19,1.0,1.0,1.0,1.0
2019-03-20,1.0,1.0,1.0,1.0
2019-03-21,1.0,1.0,1.0,1.0
2019-03-22,1.0,1.0,1.0,1.0
2019-03-23,1.0,1.0,1.0,1.0
2019-03-24,1.0,1.0,1.0,1.0
2019-03-25,1.0,1.0,1.0,1.0
2019-03-26,1.0,1.0,1.0,1.0
2019-03-27,0.9832005208333334,0.9832005208333334,0.9832005208333334,0.9832005208333334
2019-03-28,0.9689715301019418,0.9689715301019418,0.9689715301019418,0.9689715301019418
2019-03-29,0.9978666465938467,0.9978666465938467,0.9978666465938467,0.9978666465938467
2019-03-30,1.0314492061641252,1.0314492061641252,1.0314492061641252,1.0314492061641252
2019-03-31,1.0521045387754768,1.0521045387754768,1.0521045387754768,1.0521045387754768
2019-04-01,1.1595393226056476,1.1595393226056476,1.1595393226056476,1.1595393226056476
2019-04-02,1.0909273891648652,1.0909273891648652,1.0909273891648652,1.0909273891648652
2019-04-03,1.116987690645759,1.116987690645759,1.116987690645759,1.116987690645759
2019-04-04,1.1153122091097905,1.1153122091097905,1.1153122091097905,1.1153122091097905
2019-04-05,1.0968684080716298,1.0968684080716298,1.0968684080716298,1.0968684080716298
2019-04-06,1.0898413657131747,1.0898413657131747,1.0898413657131747,1.0898413657131747
2019-04-07,1.033797540160389,1.033797540160389,1.033797540160389,1.033797540160389
2019-04-08,1.0522392135184624,1.0522392135184624,1.0522392135184624,1.0522392135184624
2019-04-09,1.064269453598792,1.064269453598792,1.064269453598792,1.064269453598792
2019-04-10,1.0211373666750365,1.0211373666750365,1.0211373666750365,1.0211373666750365
2019-04-11,1.0196056606250241,1.0196056606250241,1.0196056606250241,1.0196056606250241
2019-04-12,1.0196056606250241,1.0196056606250241,1.0196056606250241,1.0196056606250241
2019-04-13,1.0196056606250241,1.0196056606250241,1.0196056606250241,1.0196056606250241
2019-04-14,1.0196056606250241,1.0196056606250241,1.0196056606250241,1.0196056606250241
2019-04-15,1.0196056606250241,1.0196056606250241,1.0196056606250241,1.0196056606250241
2019-04-16,1.0238111053391667,1.0238111053391667,1.0238111053391667,1.0238111053391667
2019-04-17,1.0347560109247846,1.0347560109247846,1.0347560109247846,1.0347560109247846
2019-04-18,1.0348032381333525,1.0348032381333525,1.0348032381333525,1.0348032381333525
2019-04-19,1.0413068183132277,1.0413068183132277,1.0413068183132277,1.0413068183132277
2019-04-20,1.0343034168426752,1.0343034168426752,1.0343034168426752,1.0343034168426752
2019-04-21,1.054178200448346,1.0434650810828785,1.054178200448346,1.0434650810828785
2019-04-22,1.0809737379095756,1.0692057092347844,1.0809737379095756,1.0692057092347844
2019-04-23,1.0655638933139313,1.053963624027473,1.0655638933139313,1.053963624027473
2019-04-24,1.0271721083489178,1.0159897915163447,1.0271721083489178,1.0159897915163447
2019-04-25,1.0457087877118305,1.0243952390049686,1.0457087877118305,1.0243952390049686
2019-04-26,1.0420860672545986,1.0226207977684392,1.0420860672545986,1.0226207977684392
2019-04-27,1.0444139750769263,1.0237630100238395,1.0444139750769263,1.0237630100238395
2019-04-28,1.0307613762000805,1.0096125386881356,1.0307613762000805,1.0096125386881356
2019-04-29,1.0470291817513755,1.0168223432025474,1.0470291817513755,1.0168223432025474
2019-04-30,1.0593062881786803,1.0279826378049586,1.0593062881786803,1.0279826378049586
2019-05-01,1.0808871546938674,1.0489253588422727,1.0808871546938674,1.0489253588422727
2019-05-02,1.1359501442833604,1.102360137730403,1.1359501442833604,1.102360137730403
2019-05-03,1.1471193791096759,1.1131990986684714,1.1471193791096759,1.1131990986684714
2019-05-04,1.1365267097879606,1.1029196542129356,1.1365267097879606,1.1029196542129356
2019-05-05,1.1310503213944376,1.0976052024351617,1.1310503213944376,1.0976052024351617
2019-05-06,1.150442993912644,1.1061916144639785,1.150442993912644,1.1061916144639785
2019-05-07,1.1781791399445178,1.1320312558201462,1.1781791399445178,1.1320312558201462
2019-05-08,1.2218426620659266,1.1739845293969953,1.2218426620659266,1.1739845293969953
2019-05-09,1.254144104926034,1.2050207629254994,1.254144104926034,1.2050207629254994
2019-05-10,1.3924588242190035,1.3379178581728355,1.3924588242190035,1.3379178581728355
2019-05-11,1.371027510530948,1.317325983706863,1.371027510530948,1.317325983706863
2019-05-12,1.5330561919260892,1.4730081931943453,1.5330561919260892,1.4730081931943453
2019-05-13,1.5639211405255886,1.5026641982442743,1.5639211405255886,1.5026641982442743
2019-05-14,1.607667310261991,1.5446968822267397,1.607667310261991,1.5446968822267397
2019-05-15,1.5479878610349829,1.4873550064757517,1.5479878610349829,1.4873550064757517
2019-05-16,1.4473683253806502,1.3906766190853772,1.4473683253806502,1.3906766190853772
2019-05-17,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-18,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-19,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-20,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-21,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-22,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-23,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-24,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-25,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-26,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-27,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-28,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-29,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-30,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-05-31,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-06-01,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-06-02,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-06-03,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-06-04,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-06-05,1.4451972728925793,1.3885906041567493,1.4451972728925793,1.3885906041567493
2019-06-06,1.479003970337905,1.4048318686922792,1.479003970337905,1.4048318686922792
2019-06-07,1.4628972412031147,1.3884792686941791,1.4628972412031147,1.3884792686941791
2019-06-08,1.4136948994933523,1.341779863219173,1.4136948994933523,1.341779863219173
2019-06-09,1.4115743571441124,1.3397671934243445,1.4115743571441124,1.3397671934243445
2019-06-10,1.392154367961714,1.3213351042669068,1.392154367961714,1.3213351042669068
2019-06-11,1.4350124322718545,1.3406830345174043,1.4350124322718545,1.3406830345174043
2019-06-12,1.4510616950459823,1.3546717995271282,1.4510616950459823,1.3546717995271282
2019-06-13,1.5272400769659509,1.4257898685058001,1.5272400769659509,1.4257898685058001
2019-06-14,1.555260076990748,1.451948579734918,1.555260076990748,1.451948579734918
2019-06-15,1.552927186875262,1.4497706568653157,1.552927186875262,1.4497706568653157
2019-06-16,1.552927186875262,1.4497706568653157,1.552927186875262,1.4497706568653157
2019-06-17,1.552927186875262,1.4497706568653157,1.552927186875262,1.4497706568653157
2019-06-18,1.552927186875262,1.4497706568653157,1.552927186875262,1.4497706568653157
2019-06-19,1.552927186875262,1.4497706568653157,1.552927186875262,1.4497706568653157
2019-06-20,1.552927186875262,1.4497706568653157,1.552927186875262,1.4497706568653157
2019-06-21,1.6376668544020148,1.5288813096319844,1.6376668544020148,1.5288813096319844
2019-06-22,1.6646171164348929,1.5540413425171813,1.6646171164348929,1.5540413425171813
2019-06-23,1.6875913104723215,1.5754894262793142,1.6875913104723215,1.5754894262793142
2019-06-24,1.8042434980685587,1.6843927412998125,1.8042434980685587,1.6843927412998125
2019-06-25,1.9985350909333237,1.8657780970277529,1.9985350909333237,1.8657780970277529
2019-06-26,1.7293209454034466,1.6144470804154234,1.7293209454034466,1.6144470804154234
2019-06-27,1.7267269639853415,1.6120254097948004,1.7267269639853415,1.6120254097948004
2019-06-28,1.7267269639853415,1.6120254097948004,1.7267269639853415,1.6120254097948004
2019-06-29,1.7267269639853415,1.6120254097948004,1.7267269639853415,1.6120254097948004
2019-06-30,1.7267269639853415,1.6120254097948004,1.7267269639853415,1.6120254097948004
2019-07-01,1.7267269639853415,1.6120254097948004,1.7267269639853415,1.6120254097948004
2019-07-02,1.7267269639853415,1.6120254097948004,1.7267269639853415,1.6120254097948004
2019-07-03,1.7267269639853415,1.6120254097948004,1.7267269639853415,1.6120254097948004
2019-07-04,1.696364210576881,1.5836795676167157,1.696364210576881,1.5836795676167157
2019-07-05,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-06,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-07,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-08,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-09,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-10,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-11,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-12,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-13,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-14,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-15,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-16,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-17,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-18,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-19,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-20,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-21,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-22,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-23,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-24,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-25,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-26,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-27,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-28,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-29,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-30,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-07-31,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-08-01,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-08-02,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-08-03,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-08-04,1.6938196642610157,1.5813040482652907,1.6938196642610157,1.5813040482652907
2019-08-05,1.669564538431841,1.5586601213620146,1.669564538431841,1.5586601213620146
2019-08-06,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-07,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-08,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-09,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-10,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-11,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-12,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-13,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-14,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-15,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-16,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-17,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-18,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-19,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-20,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
2019-08-21,1.6670601916241932,1.5563221311799718,1.6670601916241932,1.5563221311799718
