ts,n_selected,selected,raw_strategy_ret,turnover,cost,strategy_ret,equity,window
2020-04-23,0,,0.0,0.0,0.0,0.0,1.0,1
2020-04-24,0,,0.0,0.0,0.0,0.0,1.0,1
2020-04-25,0,,0.0,0.0,0.0,0.0,1.0,1
2020-04-26,0,,0.0,0.0,0.0,0.0,1.0,1
2020-04-27,0,,0.0,0.0,0.0,0.0,1.0,1
2020-04-28,0,,0.0,0.0,0.0,0.0,1.0,1
2020-04-29,0,,0.0,0.0,0.0,0.0,1.0,1
2020-04-30,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-01,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-02,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-03,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-04,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-05,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-06,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-07,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-08,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-09,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-10,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-11,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-12,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-13,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-14,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-15,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-16,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-17,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-18,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-19,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-20,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-21,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-22,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-23,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-24,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-25,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-26,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-27,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-28,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-29,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-30,0,,0.0,0.0,0.0,0.0,1.0,1
2020-05-31,1,ETHUSDT,0.05328993098789924,0.7407172460304814,0.0007407172460304814,0.05254921374186876,1.0525492137418688,1
2020-06-01,1,ETHUSDT,-0.02717293893104897,0.09954437237513036,9.954437237513036e-05,-0.027272483303424102,1.0238435828840615,1
2020-06-02,1,ETHUSDT,0.016749238949146626,0.05652359456553746,5.6523594565537464e-05,0.016692715354581087,1.0409343123807595,1
2020-06-03,1,ETHUSDT,-0.002858951450031562,0.051007440493087364,5.100744049308737e-05,-0.0029099588905246495,1.037905236323995,1
2020-06-04,1,ETHUSDT,-0.0072037601704724764,0.017309894441201346,1.7309894441201345e-05,-0.007221070064913678,1.0304104498917586,1
2020-06-05,1,ETHUSDT,0.0044411166101256,0.007164088914136557,7.164088914136557e-06,0.004433952521211463,1.0349792409039387,1
2020-06-06,1,ETHUSDT,0.0056635324846880135,0.0351253451026714,3.51253451026714e-05,0.005628407139585342,1.040804525452765,1
2020-06-07,1,ETHUSDT,0.0033330721508737335,0.07998171314413544,7.998171314413544e-05,0.003253090437729598,1.0441903567020612,1
2020-06-08,1,ETHUSDT,-0.004347381535360295,0.031010759738804017,3.1010759738804016e-05,-0.004378392295099099,1.03961848168966,1
2020-06-09,1,ETHUSDT,0.0072325278882736915,0.03103975964186878,3.103975964186878e-05,0.007201488128631823,1.0471052818438544,1
2020-06-10,1,ETHUSDT,-0.03961203639551906,0.12529288943636274,0.00012529288943636274,-0.03973732928495542,1.005496114463209,1
2020-06-11,0,,0.0,0.5683306530446848,0.0005683306530446848,-0.0005683306530446848,1.0049246601998423,1
2020-06-12,1,ETHUSDT,0.0012836124046495345,0.5445037977223067,0.0005445037977223067,0.0007391086069272278,1.0056674086655095,1
2020-06-13,1,ETHUSDT,-0.014791592654283819,0.011020827973517444,1.1020827973517445e-05,-0.014802613482257336,0.9907809027233306,1
2020-06-14,0,,0.0,0.5555246256958242,0.0005555246256958242,-0.0005555246256958242,0.9902304995331986,1
2020-06-15,0,,0.0,0.0,0.0,0.0,0.9902304995331986,1
2020-06-16,0,,0.0,0.0,0.0,0.0,0.9902304995331986,1
2020-06-17,0,,0.0,0.0,0.0,0.0,0.9902304995331986,1
2020-06-18,0,,0.0,0.0,0.0,0.0,0.9902304995331986,1
2020-06-19,0,,0.0,0.0,0.0,0.0,0.9902304995331986,1
2020-06-20,0,,0.0,0.0,0.0,0.0,0.9902304995331986,1
