profile,decision_date,period_start,period_end,incumbent_asset_before,incumbent_hold_periods_before,core_asset_today,core_is_bnb,approved_shortlist_size,approved_shortlist,selected_asset,selected,keep_reason,best_passed_asset,best_passed_score,required_recent_delta_pct
phase68_dynamic_admit_base,2019-09-21,2019-09-22,2019-09-27,,0,0.0,False,1,BNB,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-09-28,2019-09-29,2019-10-04,,0,CASH,False,1,BNB,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-10-05,2019-10-06,2019-10-11,,0,CASH,False,1,BNB,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-10-12,2019-10-13,2019-10-18,,0,CASH,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-10-19,2019-10-20,2019-10-25,,0,CASH,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-10-26,2019-10-27,2019-11-01,,0,CASH,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-11-02,2019-11-03,2019-11-08,,0,CASH,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-11-09,2019-11-10,2019-11-15,,0,CASH,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-11-16,2019-11-17,2019-11-22,,0,CASH,False,2,"ATOM,LINK",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-11-23,2019-11-24,2019-11-29,,0,CASH,False,1,LINK,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-11-30,2019-12-01,2019-12-06,,0,CASH,False,1,LINK,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-12-07,2019-12-08,2019-12-13,,0,CASH,False,1,LINK,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-12-14,2019-12-15,2019-12-20,,0,CASH,False,1,LINK,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-12-21,2019-12-22,2019-12-27,,0,CASH,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2019-12-28,2019-12-29,2020-01-03,,0,CASH,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-01-04,2020-01-05,2020-01-10,,0,CASH,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-01-11,2020-01-12,2020-01-17,,0,CASH,False,1,LINK,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-01-18,2020-01-19,2020-01-24,,0,0.0,False,2,"ETC,LINK",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-01-25,2020-01-26,2020-01-31,,0,BTC,False,2,"ETC,THETA",ETC,True,best_passed,ETC,465.8239632244226,2.0
phase68_dynamic_admit_base,2020-02-01,2020-02-02,2020-02-07,ETC,1,BTC,False,1,ETC,ETC,True,min_hold,ETC,524.4502996696048,2.0
phase68_dynamic_admit_base,2020-02-08,2020-02-09,2020-02-14,ETC,2,BTC,False,6,"ETC,ETH,IOTA,LINK,TRX,XTZ",ETC,True,incumbent_best,ETC,553.1134867189027,2.0
phase68_dynamic_admit_base,2020-02-15,2020-02-16,2020-02-21,ETC,3,0.0480623480130599,False,9,"ALGO,DOGE,ETC,ETH,IOTA,LINK,TRX,XLM,XTZ",ETC,True,incumbent_best,ETC,556.8730583275263,2.0
phase68_dynamic_admit_base,2020-02-22,2020-02-23,2020-02-28,ETC,4,0.0,False,11,"ADA,ALGO,DOGE,ETC,ETH,IOTA,LINK,NEO,TRX,XLM,XTZ",XTZ,True,best_passed,XTZ,502.48755647245525,2.0
phase68_dynamic_admit_base,2020-02-29,2020-03-01,2020-03-06,XTZ,1,0.0,False,13,"ADA,ALGO,BNB,DOGE,ETC,ETH,IOTA,LINK,NEO,THETA,TRX,XLM,XTZ",XTZ,True,min_hold,XTZ,502.48755647245525,2.0
phase68_dynamic_admit_base,2020-03-07,2020-03-08,2020-03-13,XTZ,2,0.0,False,13,"ADA,ALGO,BNB,DOGE,ETC,ETH,IOTA,LINK,NEO,THETA,TRX,XLM,XTZ",XTZ,True,incumbent_best,XTZ,505.27262890011116,2.0
phase68_dynamic_admit_base,2020-03-14,2020-03-15,2020-03-20,XTZ,3,CASH,False,12,"ADA,ALGO,BNB,DOGE,ETC,ETH,LINK,NEO,THETA,TRX,XLM,XTZ",XTZ,True,incumbent_best,XTZ,364.616572913444,2.0
phase68_dynamic_admit_base,2020-03-21,2020-03-22,2020-03-27,XTZ,4,CASH,False,9,"ADA,ALGO,ETC,ETH,LINK,NEO,THETA,TRX,XTZ",ALGO,True,best_passed,ALGO,277.9104278079167,2.0
phase68_dynamic_admit_base,2020-03-28,2020-03-29,2020-04-03,ALGO,1,CASH,False,5,"ALGO,ETC,LINK,THETA,XTZ",ALGO,True,min_hold,ALGO,264.2452224474196,2.0
phase68_dynamic_admit_base,2020-04-04,2020-04-05,2020-04-10,ALGO,2,CASH,False,6,"ALGO,ETC,IOTA,LINK,THETA,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-04-11,2020-04-12,2020-04-17,,0,CASH,False,12,"ADA,ALGO,BNB,DOGE,ETC,IOTA,LINK,NEO,THETA,TRX,XLM,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-04-18,2020-04-19,2020-04-24,,0,CASH,False,13,"ADA,ALGO,BNB,DOGE,ETC,ETH,IOTA,LINK,NEO,THETA,TRX,XLM,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-04-25,2020-04-26,2020-05-01,,0,CASH,False,13,"ADA,ALGO,BNB,DOGE,ETC,ETH,IOTA,LINK,NEO,THETA,TRX,XLM,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-05-02,2020-05-03,2020-05-08,,0,0.0,False,13,"ADA,ALGO,BNB,DOGE,ETC,ETH,IOTA,LINK,NEO,THETA,TRX,XLM,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-05-09,2020-05-10,2020-05-15,,0,BTC,False,13,"ADA,ALGO,BNB,DOGE,ETC,ETH,IOTA,LINK,NEO,THETA,TRX,XLM,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-05-16,2020-05-17,2020-05-22,,0,BTC,False,10,"ADA,BNB,DOGE,ETC,IOTA,LINK,NEO,TRX,XLM,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-05-23,2020-05-24,2020-05-29,,0,BTC,False,10,"ADA,BNB,DOGE,ETC,IOTA,LINK,NEO,TRX,XLM,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-05-30,2020-05-31,2020-06-05,,0,BTC,False,13,"ADA,BNB,DOGE,ETC,ETH,IOTA,LINK,NEO,TRX,XLM,XRP,XTZ,ZEC",ADA,True,best_passed,ADA,299.33388634189083,2.0
phase68_dynamic_admit_base,2020-06-06,2020-06-07,2020-06-12,ADA,1,0.0034316480664173,False,11,"ADA,BNB,DOGE,ETH,IOTA,LINK,NEO,TRX,XRP,XTZ,ZEC",ADA,True,min_hold,ADA,306.8021749998814,2.0
phase68_dynamic_admit_base,2020-06-13,2020-06-14,2020-06-19,ADA,2,BTC,False,11,"ADA,BNB,DOGE,ETH,IOTA,LINK,NEO,TRX,XRP,XTZ,ZEC",ADA,True,incumbent_best,ADA,262.7314249970819,2.0
phase68_dynamic_admit_base,2020-06-20,2020-06-21,2020-06-26,ADA,3,0.0,False,11,"ADA,BNB,CHZ,ETH,IOTA,NEO,THETA,TRX,XRP,XTZ,ZEC",ADA,True,incumbent_best,ADA,273.96970500112064,2.0
phase68_dynamic_admit_base,2020-06-27,2020-06-28,2020-07-03,ADA,4,0.0214908696510601,False,10,"ADA,BNB,ETH,IOTA,NEO,THETA,TRX,XRP,XTZ,ZEC",ADA,True,incumbent_best,ADA,260.1030035645006,2.0
phase68_dynamic_admit_base,2020-07-04,2020-07-05,2020-07-10,ADA,5,0.0174170215958133,False,11,"ADA,BNB,DOGE,ETH,IOTA,NEO,THETA,TRX,XRP,XTZ,ZEC",ADA,True,incumbent_best,ADA,341.48810871788197,2.0
phase68_dynamic_admit_base,2020-07-11,2020-07-12,2020-07-17,ADA,6,0.0858319587464708,False,10,"ADA,BNB,DOGE,ETH,IOTA,NEO,THETA,TRX,XRP,ZEC",TRX,True,best_passed,TRX,88.49379659965174,2.0
phase68_dynamic_admit_base,2020-07-18,2020-07-19,2020-07-24,TRX,1,0.1168886966757876,False,10,"ADA,BNB,DOGE,ETH,IOTA,NEO,THETA,TRX,XRP,ZEC",TRX,True,min_hold,TRX,85.49241705572094,2.0
phase68_dynamic_admit_base,2020-07-25,2020-07-26,2020-07-31,TRX,2,0.083968722264738,False,8,"BNB,DOGE,ETH,NEO,THETA,TRX,XRP,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-08-01,2020-08-02,2020-08-07,,0,0.0346778295403651,False,8,"BNB,DOGE,ETH,NEO,THETA,TRX,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-08-08,2020-08-09,2020-08-14,,0,0.2403741161285097,False,6,"ADA,NEO,THETA,TRX,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-08-15,2020-08-16,2020-08-21,,0,0.126118863965893,False,5,"ADA,THETA,TRX,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-08-22,2020-08-23,2020-08-28,,0,0.1313872621204641,False,5,"ADA,DOGE,THETA,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-08-29,2020-08-30,2020-09-04,,0,0.0730803223949276,False,5,"ADA,DOGE,THETA,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-09-05,2020-09-06,2020-09-11,,0,0.0,False,6,"ADA,DOGE,LINK,THETA,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-09-12,2020-09-13,2020-09-18,,0,0.1171832962447618,False,7,"ADA,DOGE,LINK,NEO,THETA,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-09-19,2020-09-20,2020-09-25,,0,0.0,False,7,"ADA,DOGE,LINK,NEO,THETA,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-09-26,2020-09-27,2020-10-02,,0,0.0571235442491728,False,7,"ADA,DOGE,LINK,NEO,THETA,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-10-03,2020-10-04,2020-10-09,,0,0.0524880214787881,False,6,"ADA,DOGE,LINK,THETA,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-10-10,2020-10-11,2020-10-16,,0,0.0,False,8,"ADA,DOGE,IOTA,LINK,THETA,TRX,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-10-17,2020-10-18,2020-10-23,,0,0.0099530648655907,False,9,"ADA,DOGE,IOTA,LINK,NEO,THETA,TRX,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-10-24,2020-10-25,2020-10-30,,0,0.0613414234582201,False,9,"ADA,DOGE,IOTA,LINK,NEO,THETA,TRX,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-10-31,2020-11-01,2020-11-06,,0,0.0146329055305465,False,9,"ADA,DOGE,IOTA,LINK,NEO,THETA,TRX,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-11-07,2020-11-08,2020-11-13,,0,0.0173286791053853,False,6,"ADA,IOTA,NEO,TRX,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-11-14,2020-11-15,2020-11-20,,0,0.0241335892656067,False,6,"ADA,IOTA,NEO,TRX,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-11-21,2020-11-22,2020-11-27,,0,0.0,False,2,"ADA,NEO",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-11-28,2020-11-29,2020-12-04,,0,0.1291398379686763,False,2,"ADA,NEO",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-12-05,2020-12-06,2020-12-11,,0,0.0553416014574548,False,2,"ADA,NEO",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-12-12,2020-12-13,2020-12-18,,0,0.0191004618968626,False,1,NEO,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-12-19,2020-12-20,2020-12-25,,0,0.0652134610693009,False,1,NEO,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2020-12-26,2020-12-27,2021-01-01,,0,0.0,False,1,NEO,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-01-02,2021-01-03,2021-01-08,,0,0.7561894541604735,False,1,NEO,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-01-09,2021-01-10,2021-01-15,,0,0.0,False,1,NEO,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-01-16,2021-01-17,2021-01-22,,0,CASH,False,1,NEO,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-01-23,2021-01-24,2021-01-29,,0,CASH,False,1,NEO,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-01-30,2021-01-31,2021-02-05,,0,CASH,False,1,NEO,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-02-06,2021-02-07,2021-02-12,,0,CASH,False,1,NEO,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-02-13,2021-02-14,2021-02-19,,0,CASH,False,1,NEO,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-02-20,2021-02-21,2021-02-26,,0,CASH,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-02-27,2021-02-28,2021-03-05,,0,CASH,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-03-06,2021-03-07,2021-03-12,,0,CASH,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-03-13,2021-03-14,2021-03-19,,0,BTC,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-03-20,2021-03-21,2021-03-26,,0,BTC,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-03-27,2021-03-28,2021-04-02,,0,0.0405220984693996,False,0,,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-04-03,2021-04-04,2021-04-09,,0,0.1308764684467428,False,1,TRX,,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-04-10,2021-04-11,2021-04-16,,0,0.317341521684193,False,4,"DCR,ETH,TRX,XTZ",TRX,True,best_passed,TRX,211.68453739592906,2.0
phase68_dynamic_admit_base,2021-04-17,2021-04-18,2021-04-23,TRX,1,0.0559843475707952,False,4,"DCR,ETH,TRX,XTZ",TRX,True,min_hold,XTZ,268.29898523907866,2.0
phase68_dynamic_admit_base,2021-04-24,2021-04-25,2021-04-30,TRX,2,0.0,False,4,"DCR,ETH,TRX,XTZ",XTZ,True,best_passed,XTZ,240.7055789333153,2.0
phase68_dynamic_admit_base,2021-05-01,2021-05-02,2021-05-07,XTZ,1,0.0,False,4,"DCR,ETH,TRX,XTZ",XTZ,True,min_hold,XTZ,241.4275468534444,2.0
phase68_dynamic_admit_base,2021-05-08,2021-05-09,2021-05-14,XTZ,2,0.0,False,4,"DCR,ETH,TRX,XTZ",ETH,True,best_passed,ETH,637.3381810856303,2.0
phase68_dynamic_admit_base,2021-05-15,2021-05-16,2021-05-21,ETH,1,0.0,False,4,"DCR,ETH,TRX,XTZ",ETH,True,min_hold,ETH,524.3120924467732,2.0
phase68_dynamic_admit_base,2021-05-22,2021-05-23,2021-05-28,ETH,2,CASH,False,5,"BNB,DCR,ETH,TRX,XTZ",ETH,True,incumbent_best,ETH,436.8487440318192,2.0
phase68_dynamic_admit_base,2021-05-29,2021-05-30,2021-06-04,ETH,3,CASH,False,5,"BNB,DCR,ETH,TRX,XTZ",ETH,True,incumbent_best,ETH,337.1066660533226,2.0
phase68_dynamic_admit_base,2021-06-05,2021-06-06,2021-06-11,ETH,4,CASH,False,5,"BNB,DCR,ETH,TRX,XTZ",ETH,True,incumbent_best,ETH,329.10576684792915,2.0
phase68_dynamic_admit_base,2021-06-12,2021-06-13,2021-06-18,ETH,5,CASH,False,5,"BNB,DCR,ETH,TRX,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-06-19,2021-06-20,2021-06-25,,0,CASH,False,5,"BNB,DCR,ETH,TRX,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-06-26,2021-06-27,2021-07-02,,0,CASH,False,5,"BNB,DCR,ETH,TRX,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-07-03,2021-07-04,2021-07-09,,0,CASH,False,5,"BNB,DCR,ETH,TRX,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-07-10,2021-07-11,2021-07-16,,0,CASH,False,5,"BNB,DCR,ETH,TRX,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-07-17,2021-07-18,2021-07-23,,0,CASH,False,5,"BNB,DCR,ETH,TRX,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-07-24,2021-07-25,2021-07-30,,0,CASH,False,5,"BNB,DCR,ETH,TRX,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-07-31,2021-08-01,2021-08-06,,0,CASH,False,5,"BNB,DCR,ETH,TRX,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-08-07,2021-08-08,2021-08-13,,0,CASH,False,4,"DCR,ETH,TRX,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-08-14,2021-08-15,2021-08-20,,0,BTC,False,4,"DCR,ETH,TRX,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-08-21,2021-08-22,2021-08-27,,0,BTC,False,2,"DCR,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-08-28,2021-08-29,2021-09-03,,0,BTC,False,5,"ATOM,BNB,CAKE,CHZ,XTZ",ATOM,True,best_passed,ATOM,75.26810884507783,2.0
phase68_dynamic_admit_base,2021-09-04,2021-09-05,2021-09-10,ATOM,1,0.0408110839483409,False,6,"ATOM,BNB,CAKE,CHZ,MANA,XTZ",ATOM,True,min_hold,XTZ,209.5918217681202,2.0
phase68_dynamic_admit_base,2021-09-11,2021-09-12,2021-09-17,ATOM,2,0.0,False,9,"ATOM,BNB,CAKE,CHZ,ETH,JST,MANA,TRX,XTZ",XTZ,True,best_passed,XTZ,180.91821775956822,2.0
phase68_dynamic_admit_base,2021-09-18,2021-09-19,2021-09-24,XTZ,1,0.0,False,9,"ATOM,BNB,CAKE,CHZ,ETH,JST,MANA,TRX,XTZ",XTZ,True,min_hold,ETH,380.86100241213467,2.0
phase68_dynamic_admit_base,2021-09-25,2021-09-26,2021-10-01,XTZ,2,0.0,False,10,"ATOM,BNB,CAKE,CHZ,ETH,JST,MANA,STX,TRX,XTZ",ETH,True,best_passed,ETH,335.1395688094762,2.0
phase68_dynamic_admit_base,2021-10-02,2021-10-03,2021-10-08,ETH,1,0.0,False,8,"BNB,CHZ,ETH,JST,MANA,STX,TRX,XTZ",ETH,True,min_hold,ETH,363.8819705983029,2.0
phase68_dynamic_admit_base,2021-10-09,2021-10-10,2021-10-15,ETH,2,BTC,False,7,"CHZ,ETH,JST,MANA,STX,TRX,XTZ",ETH,True,incumbent_best,ETH,366.5056629444005,2.0
phase68_dynamic_admit_base,2021-10-16,2021-10-17,2021-10-22,ETH,3,0.035099536675172,False,6,"ATOM,CHZ,JST,MANA,TRX,XTZ",JST,True,best_passed,JST,133.16823216753312,2.0
phase68_dynamic_admit_base,2021-10-23,2021-10-24,2021-10-29,JST,1,0.0839639239993117,False,6,"ATOM,CHZ,JST,MANA,TRX,XTZ",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2021-10-30,2021-10-31,2021-11-05,,0,0.0369330786345417,False,8,"ATOM,BNB,CAKE,CHZ,JST,MANA,STX,XTZ",BNB,True,best_passed,BNB,146.91285940835385,2.0
phase68_dynamic_admit_base,2021-11-06,2021-11-07,2021-11-12,BNB,1,0.0850259731672533,False,10,"ATOM,BNB,CAKE,CHZ,ETH,JST,LINK,MANA,STX,XTZ",BNB,True,min_hold,BNB,288.17800003351874,2.0
phase68_dynamic_admit_base,2021-11-13,2021-11-14,2021-11-19,BNB,2,0.1550469403701755,False,11,"ATOM,BNB,CAKE,CHZ,ETH,JST,LINK,MANA,STX,VET,XTZ",BNB,True,incumbent_best,BNB,284.2867283551625,2.0
phase68_dynamic_admit_base,2021-11-20,2021-11-21,2021-11-26,BNB,3,0.0968467929965992,False,9,"ATOM,BNB,CAKE,CHZ,LINK,MANA,STX,VET,XTZ",VET,True,best_passed,VET,96.8390089007308,2.0
phase68_dynamic_admit_base,2021-11-27,2021-11-28,2021-12-03,VET,1,0.0753273594720138,False,9,"ATOM,BNB,CAKE,CHZ,LINK,MANA,STX,VET,XTZ",VET,True,min_hold,VET,106.52584091769366,2.0
phase68_dynamic_admit_base,2021-12-04,2021-12-05,2021-12-10,VET,2,0.0,False,11,"ATOM,AVAX,BNB,CAKE,CHZ,LINK,MANA,STX,VET,XTZ,ZEC",BNB,True,best_passed,BNB,122.27213453127582,2.0
phase68_dynamic_admit_base,2021-12-11,2021-12-12,2021-12-17,BNB,1,CASH,False,11,"ATOM,AVAX,BNB,CAKE,CHZ,LINK,MANA,STX,VET,XTZ,ZEC",VET,True,best_passed,VET,106.5829902334074,2.0
phase68_dynamic_admit_base,2021-12-18,2021-12-19,2021-12-24,VET,1,CASH,False,10,"ATOM,AVAX,CAKE,CHZ,LINK,MANA,STX,VET,XTZ,ZEC",ZEC,True,best_passed,ZEC,137.0302541396578,2.0
phase68_dynamic_admit_base,2021-12-25,2021-12-26,2021-12-31,ZEC,1,0.0,False,9,"ATOM,AVAX,CAKE,CHZ,MANA,STX,VET,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-01-01,2022-01-02,2022-01-07,,0,CASH,False,9,"ATOM,AVAX,CAKE,CHZ,MANA,STX,VET,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-01-08,2022-01-09,2022-01-14,,0,CASH,False,12,"ATOM,AVAX,BNB,CAKE,CHZ,JST,LINK,MANA,STX,VET,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-01-15,2022-01-16,2022-01-21,,0,CASH,False,12,"ATOM,AVAX,BNB,CAKE,CHZ,JST,LINK,MANA,STX,VET,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-01-22,2022-01-23,2022-01-28,,0,CASH,False,12,"ATOM,AVAX,BNB,CAKE,CHZ,JST,LINK,MANA,STX,VET,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-01-29,2022-01-30,2022-02-04,,0,CASH,False,12,"ATOM,AVAX,BNB,CAKE,CHZ,JST,LINK,MANA,STX,VET,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-02-05,2022-02-06,2022-02-11,,0,CASH,False,12,"ATOM,AVAX,BNB,CAKE,CHZ,JST,LINK,MANA,STX,VET,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-02-12,2022-02-13,2022-02-18,,0,CASH,False,11,"ATOM,AVAX,BNB,CHZ,JST,LINK,MANA,STX,VET,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-02-19,2022-02-20,2022-02-25,,0,CASH,False,11,"AVAX,BNB,CHZ,ETH,JST,LINK,MANA,STX,VET,XTZ,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-02-26,2022-02-27,2022-03-04,,0,CASH,False,8,"AVAX,BNB,JST,LINK,STX,TRX,VET,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-03-05,2022-03-06,2022-03-11,,0,CASH,False,7,"AVAX,BNB,JST,LINK,STX,VET,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-03-12,2022-03-13,2022-03-18,,0,CASH,False,5,"AVAX,BNB,LINK,VET,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-03-19,2022-03-20,2022-03-25,,0,CASH,False,5,"AVAX,BNB,LINK,VET,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-03-26,2022-03-27,2022-04-01,,0,CASH,False,5,"AVAX,BNB,LINK,VET,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-04-02,2022-04-03,2022-04-08,,0,0.0,False,4,"BNB,LINK,VET,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-04-09,2022-04-10,2022-04-15,,0,CASH,False,4,"BNB,LINK,VET,ZEC",,False,best_passed,,,2.0
phase68_dynamic_admit_base,2022-04-16,2022-04-17,2022-04-22,,0,CASH,False,4,"BNB,LINK,VET,ZEC",,False,best_passed,,,2.0
