config_id,promotion_margin,persistence_weeks,cooldown_days,downside_lookback_days,bnb_shield_margin,score,est_since2025_repair_pct_pts,est_full_history_lift_retained_pct_pts,est_dd_help_pct_pts,base_full_history_lift_vs_66g_pct_pts,base_since2023_lift_vs_66g_pct_pts,base_since2025_gap_vs_66g_pct_pts,base_dd_gap_vs_66g_pct_pts,damage_data_available,profile_label
g149,0.02,2,7,42,0.01,328.587456,4.3,31.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd7_dl42_bs0.01
g152,0.02,2,7,63,0.01,325.387456,4.3,31.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd7_dl63_bs0.01
g095,0.01,2,7,42,0.01,324.087456,4.3,33.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd7_dl42_bs0.01
g098,0.01,2,7,63,0.01,320.887456,4.3,33.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd7_dl63_bs0.01
g146,0.02,2,7,21,0.01,314.587456,3.5,31.2148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd7_dl21_bs0.01
g122,0.02,1,7,42,0.01,314.587456,3.4,32.5148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd7_dl42_bs0.01
g158,0.02,2,14,42,0.01,314.437456,4.3,30.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd14_dl42_bs0.01
g096,0.01,2,7,42,0.02,314.187456,4.3,32.6148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd7_dl42_bs0.02
g140,0.02,2,0,42,0.01,312.087456,3.6,31.2148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd0_dl42_bs0.01
g125,0.02,1,7,63,0.01,311.387456,3.4,32.5148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd7_dl63_bs0.01
g161,0.02,2,14,63,0.01,311.237456,4.3,30.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd14_dl63_bs0.01
g150,0.02,2,7,42,0.02,311.187456,4.3,30.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd7_dl42_bs0.02
g099,0.01,2,7,63,0.02,310.987456,4.3,32.6148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd7_dl63_bs0.02
g092,0.01,2,7,21,0.01,310.087456,3.5,33.4148,1.5,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd7_dl21_bs0.01
g068,0.01,1,7,42,0.01,310.087456,3.4,34.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd7_dl42_bs0.01
g104,0.01,2,14,42,0.01,309.937456,4.3,32.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd14_dl42_bs0.01
g131,0.02,1,14,42,0.01,309.187456,3.4,31.5148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw1_cd14_dl42_bs0.01
g143,0.02,2,0,63,0.01,308.887456,3.6,31.2148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd0_dl63_bs0.01
g153,0.02,2,7,63,0.02,307.987456,4.3,30.4148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.02_pw2_cd7_dl63_bs0.02
g086,0.01,2,0,42,0.01,307.587456,3.6,33.4148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw2_cd0_dl42_bs0.01
g203,0.03,2,7,42,0.01,307.337456,4.3,31.2148,2.3,34.7148,56.1159,-2.7347,-2.2505,1,pm0.03_pw2_cd7_dl42_bs0.01
g071,0.01,1,7,63,0.01,306.887456,3.4,34.7148,1.8,34.7148,56.1159,-2.7347,-2.2505,1,pm0.01_pw1_cd7_dl63_bs0.01
